ons_id,ons_region_id,constituency_name,region_name,country_name,constituency_type,member_first_name,member_surname,member_gender,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ruk,green,snp,pc,dup,sf,sdlp,uup,apni,all_other_candidates,con_pc,lab_pc,ld_pc,ruk_pc,green_pc,snp_pc,pc_pc,dup_pc,sf_pc,sdlp_pc,uup_pc,apni_pc,all_other_candidates_pc
E14001358,E12000005,Meriden and Solihull East,West Midlands,England,County,Saqib,Bhatti,Male,Con hold,Con,Lab,73659,44035,161,4584,16792,12208,3353,8753,2929,0,0,0,0,0,0,0,0,38.13,27.72,7.61,19.88,6.65,0,0,0,0,0,0,0,0
W07000099,W92000004,Merthyr Tydfil and Aberdare,Wales,Wales,County,Gerald,Jones,Male,Lab hold,Lab,RUK,74460,35215,115,7447,2687,15791,1276,8344,1231,0,4768,0,0,0,0,0,1118,7.63,44.84,3.62,23.69,3.5,0,13.54,0,0,0,0,0,3.17
W07000100,W92000004,Mid and South Pembrokeshire,Wales,Wales,County,Henry,Tufnell,Male,Lab gain from Con,Lab,Con,79033,46629,147,1878,14627,16505,2372,7828,1654,0,2962,0,0,0,0,0,681,31.37,35.4,5.09,16.79,3.55,0,6.35,0,0,0,0,0,1.46
E14001359,E12000006,Mid Bedfordshire,East of England,England,County,Blake,Stephenson,Male,Con hold,Con,Lab,75457,49621,179,1321,16912,15591,4068,8594,2584,0,0,0,0,0,0,0,1872,34.08,31.42,8.2,17.32,5.21,0,0,0,0,0,0,0,3.77
E14001360,E12000008,Mid Buckinghamshire,South East,England,County,Greg,Smith,Male,Con hold,Con,LD,75622,53951,231,5872,20150,9171,14278,6926,2942,0,0,0,0,0,0,0,484,37.35,17,26.46,12.84,5.45,0,0,0,0,0,0,0,0.9
E14001361,E12000002,Mid Cheshire,North West,England,County,Andrew,Cooper,Male,Lab gain from Con,Lab,Con,70384,41509,115,8927,9530,18457,2465,7967,1967,0,0,0,0,0,0,0,1123,22.96,44.47,5.94,19.19,4.74,0,0,0,0,0,0,0,2.71
E14001362,E12000004,Mid Derbyshire,East Midlands,England,County,Jonathan,Davies,Male,Lab gain from Con,Lab,Con,69917,47543,153,1878,15468,17346,2361,8356,3547,0,0,0,0,0,0,0,465,32.53,36.48,4.97,17.58,7.46,0,0,0,0,0,0,0,0.98
E14001363,E12000009,Mid Dorset and North Poole,South West,England,County,Vikki,Slade,Female,LD gain from Con,LD,Con,75294,49514,798,1352,20090,4566,21442,0,2355,0,0,0,0,0,0,0,1061,40.57,9.22,43.3,0,4.76,0,0,0,0,0,0,0,2.14
S14000097,S92000003,Mid Dunbartonshire,Scotland,Scotland,County,Susan,Murray,Female,LD gain from SNP,LD,SNP,73603,52738,132,9673,2452,10993,22349,2099,1720,12676,0,0,0,0,0,0,449,4.65,20.84,42.38,3.98,3.26,24.04,0,0,0,0,0,0,0.85
E14001364,E12000004,Mid Leicestershire,East Midlands,England,County,Peter,Bedford,Male,Con hold,Con,Lab,75924,48050,181,2201,17735,15534,2444,8923,3414,0,0,0,0,0,0,0,0,36.91,32.33,5.09,18.57,7.11,0,0,0,0,0,0,0,0
E14001365,E12000006,Mid Norfolk,East of England,England,County,George,Freeman,Male,Con hold,Con,Lab,75238,45897,222,3054,16770,13716,3126,9427,2858,0,0,0,0,0,0,0,0,36.54,29.88,6.81,20.54,6.23,0,0,0,0,0,0,0,0
E14001366,E12000008,Mid Sussex,South East,England,County,Alison,Bennett,Female,LD gain from Con,LD,Con,75969,53328,145,6662,14474,9397,21136,5921,2048,0,0,0,0,0,0,0,352,27.14,17.62,39.63,11.1,3.84,0,0,0,0,0,0,0,0.66
N05000010,N92000002,Mid Ulster,Northern Ireland,Northern Ireland,County,Cathal,Mallaghan,Male,SF hold,SF,DUP,74000,45445,246,14923,0,0,0,0,0,0,0,9162,24085,3722,2269,2001,4206,0,0,0,0,0,0,0,20.16,53,8.19,4.99,4.4,9.26
E14001367,E12000001,Middlesbrough and Thornaby East,North East,England,Borough,Andy,McDonald,Male,Lab hold,Lab,RUK,75123,34407,92,9192,6174,16238,1037,7046,1522,0,0,0,0,0,0,0,2390,17.94,47.19,3.01,20.48,4.42,0,0,0,0,0,0,0,6.95
E14001368,E12000001,Middlesbrough South and East Cleveland,North East,England,County,Luke,Myer,Male,Lab gain from Con,Lab,Con,70331,38035,529,214,16254,16468,2032,0,1446,0,0,0,0,0,0,0,1835,42.73,43.3,5.34,0,3.8,0,0,0,0,0,0,0,4.82
S14000045,S92000003,Midlothian,Scotland,Scotland,County,Kirsty,McNeill,Female,Lab gain from SNP,Lab,SNP,73554,44165,162,8167,3248,21480,2589,3276,0,13313,0,0,0,0,0,0,259,7.35,48.64,5.86,7.42,0,30.14,0,0,0,0,0,0,0.59
E14001369,E12000008,Milton Keynes Central,South East,England,Borough,Emily,Darlington,Female,Lab gain from Con,Lab,Con,81078,47729,201,7291,12918,20209,4931,6245,3226,0,0,0,0,0,0,0,200,27.07,42.34,10.33,13.08,6.76,0,0,0,0,0,0,0,0.42
E14001370,E12000008,Milton Keynes North,South East,England,County,Chris,Curtis,Male,Lab gain from Con,Lab,Con,70709,45977,184,5430,13888,19318,3365,6164,3242,0,0,0,0,0,0,0,0,30.21,42.02,7.32,13.41,7.05,0,0,0,0,0,0,0,0
E14001371,E12000007,Mitcham and Morden,London,England,Borough,Siobhain,McDonagh,Female,Lab hold,Lab,Con,77282,45255,182,18761,6324,25085,3622,4135,4635,0,0,0,0,0,0,0,1454,13.97,55.43,8,9.14,10.24,0,0,0,0,0,0,0,3.21
W07000101,W92000004,Monmouthshire,Wales,Wales,County,Catherine,Fookes,Female,Lab gain from Con,Lab,Con,74823,50844,154,3338,17672,21010,2279,5438,2357,0,1273,0,0,0,0,0,815,34.76,41.32,4.48,10.7,4.64,0,2.5,0,0,0,0,0,1.6
W07000102,W92000004,Montgomeryshire and Glyndŵr,Wales,Wales,County,Steve,Witherden,Male,Lab gain from Con,Lab,RUK,74039,43259,193,3815,7775,12709,6470,8894,1744,0,5667,0,0,0,0,0,0,17.97,29.38,14.96,20.56,4.03,0,13.1,0,0,0,0,0,0
S14000098,S92000003,"Moray West, Nairn and Strathspey",Scotland,Scotland,County,Graham,Leadbitter,Male,SNP hold,SNP,Con,77243,46554,167,1001,13960,8259,3785,3490,1676,14961,0,0,0,0,0,0,423,29.99,17.74,8.13,7.5,3.6,32.14,0,0,0,0,0,0,0.91
E14001372,E12000002,Morecambe and Lunesdale,North West,England,County,Lizzi,Collinge,Female,Lab gain from Con,Lab,Con,76424,48059,171,5815,13788,19603,4769,7810,2089,0,0,0,0,0,0,0,0,28.69,40.79,9.92,16.25,4.35,0,0,0,0,0,0,0,0
S14000099,S92000003,"Motherwell, Wishaw and Carluke",Scotland,Scotland,County,Pamela,Nash,Female,Lab gain from SNP,Lab,SNP,71777,39026,125,7085,2415,19168,822,3004,1200,12083,0,0,0,0,0,0,334,6.19,49.12,2.11,7.7,3.07,30.96,0,0,0,0,0,0,0.86
S14000027,S92000003,Na h-Eileanan an Iar,Scotland,Scotland,County,Torcuil,Crichton,Male,Lab gain from SNP,Lab,SNP,21325,13528,53,3836,647,6692,382,697,0,2856,0,0,0,0,0,0,2254,4.78,49.47,2.82,5.15,0,21.11,0,0,0,0,0,0,16.66
W07000103,W92000004,Neath and Swansea East,Wales,Wales,County,Carolyn,Harris,Female,Lab hold,Lab,RUK,76291,40137,132,6627,3765,16797,2344,10170,1711,0,5350,0,0,0,0,0,0,9.38,41.85,5.84,25.34,4.26,0,13.33,0,0,0,0,0,0
E14001373,E12000008,New Forest East,South East,England,County,Julian,Lewis,Male,Con hold,Con,Lab,70618,45230,146,8495,17412,8917,7198,7646,3118,0,0,0,0,0,0,0,939,38.5,19.71,15.91,16.9,6.89,0,0,0,0,0,0,0,2.08
E14001374,E12000008,New Forest West,South East,England,County,Desmond,Swayne,Male,Con hold,Con,Lab,68644,46337,152,5600,16412,10812,8186,7577,2800,0,0,0,0,0,0,0,550,35.42,23.33,17.67,16.35,6.04,0,0,0,0,0,0,0,1.19
E14001375,E12000004,Newark,East Midlands,England,County,Robert,Jenrick,Male,Con hold,Con,Lab,79783,53459,198,3572,20968,17396,3026,8280,2345,0,0,0,0,0,0,0,1444,39.22,32.54,5.66,15.49,4.39,0,0,0,0,0,0,0,2.7
E14001376,E12000008,Newbury,South East,England,County,Lee,Dillon,Male,LD gain from Con,LD,Con,71982,48930,173,2377,17268,3662,19645,5357,2714,0,0,0,0,0,0,0,284,35.29,7.48,40.15,10.95,5.55,0,0,0,0,0,0,0,0.58
E14001377,E12000001,Newcastle upon Tyne Central and West,North East,England,Borough,Chi,Onwurah,Female,Lab hold,Lab,RUK,76822,41355,167,11060,4228,18875,1946,7815,3228,0,0,0,0,0,0,0,5263,10.22,45.64,4.71,18.9,7.81,0,0,0,0,0,0,0,12.73
E14001378,E12000001,Newcastle upon Tyne East and Wallsend,North East,England,Borough,Mary,Glindon,Female,Lab hold,Lab,RUK,76245,42321,123,12817,3522,21200,2965,8383,5257,0,0,0,0,0,0,0,994,8.32,50.09,7.01,19.81,12.42,0,0,0,0,0,0,0,2.35
E14001379,E12000001,Newcastle upon Tyne North,North East,England,Borough,Catherine,McKinnell,Female,Lab hold,Lab,Con,74768,48617,197,17762,6678,24440,5936,5933,5035,0,0,0,0,0,0,0,595,13.74,50.27,12.21,12.2,10.36,0,0,0,0,0,0,0,1.22
E14001380,E12000005,Newcastle-under-Lyme,West Midlands,England,County,Adam,Jogee,Male,Lab gain from Con,Lab,Con,67815,39618,158,5069,10923,15992,1987,8865,1851,0,0,0,0,0,0,0,0,27.57,40.37,5.02,22.38,4.67,0,0,0,0,0,0,0,0
W07000104,W92000004,Newport East,Wales,Wales,County,Jessica,Morden,Female,Lab hold,Lab,RUK,76683,38531,154,9009,6487,16370,2045,7361,2092,0,2239,0,0,0,0,0,1937,16.84,42.49,5.31,19.1,5.43,0,5.81,0,0,0,0,0,5.03
W07000105,W92000004,Newport West and Islwyn,Wales,Wales,County,Ruth,Jones,Female,Lab hold,Lab,RUK,75785,41951,163,8868,6710,17409,2087,8541,2078,0,3529,0,0,0,0,0,1597,15.99,41.5,4.97,20.36,4.95,0,8.41,0,0,0,0,0,3.81
N05000011,N92000002,Newry and Armagh,Northern Ireland,Northern Ireland,County,Dáire,Hughes,Male,SF hold,SF,SDLP,78244,45942,294,15493,83,0,0,0,0,0,0,5900,22299,6806,3175,2692,4987,0.18,0,0,0,0,0,0,12.84,48.54,14.81,6.91,5.86,10.85
